title,embedding,spectral_cluster,kmeans_cluster,tsne1,tsne2
10 Things I Hate About You,"[-2.04213285446167, 0.7771270275115967, -0.7446798086166382, 0.0800078809261322, 0.235671266913414, 0.9717156291007996, 0.3231765329837799, -0.48870354890823364, -0.19415006041526794, 0.5804651379585266, 0.11439582705497742, -0.11182020604610443, 1.1438418626785278, 1.5236077308654785, -0.23516371846199036, -0.6741693615913391, -0.3233412206172943, 0.6815580129623413, -1.4775501489639282, 0.11046866327524185, -0.37290966510772705, -1.0415430068969727, -0.30960822105407715, 0.8499149084091187, 0.5107776522636414, 1.412785291671753, -0.7077707648277283, 0.3003796637058258, -0.07065247744321823, 0.8468373417854309, -0.7933225631713867, -0.9170553684234619, -0.3492307960987091, 0.8016793727874756, -0.3261876106262207, -0.3634435534477234, 1.762736439704895, -0.9725885391235352, -0.7465473413467407, -0.06534439325332642, 0.32568949460983276, 1.006410837173462, 0.8341853618621826, 0.2522984743118286, 0.6507552862167358, -0.8138458132743835, -0.11922378093004227, -0.6214932203292847, 0.6896812319755554, -0.8006970882415771, 0.06792638450860977, 0.34520432353019714, -1.2117924690246582, 0.1672562211751938, -0.6825830936431885, 0.6261503100395203, -0.2855752110481262, 1.356579303741455, 0.13624610006809235, -0.8917146921157837, -0.17450296878814697, 1.1882654428482056, -0.48843914270401, 0.6193581223487854]",0,0,1.3827797,5.200161
101 Dalmatians,"[-0.791604220867157, 0.2817480266094208, -0.48404359817504883, 0.10654298961162567, 0.085397869348526, -0.28956758975982666, -0.3208048641681671, 0.22514952719211578, 0.09853827953338623, 0.6302468776702881, 0.05534820631146431, 0.471433162689209, -0.09189645946025848, 0.5103487372398376, 0.8356150388717651, -0.1378147155046463, -0.7294813394546509, 0.29146263003349304, -0.9275978207588196, 0.12788105010986328, 0.20193208754062653, -0.4402513802051544, -0.5322288870811462, 1.0990443229675293, 0.8533419370651245, 1.4878785610198975, -1.026228904724121, -0.2957495152950287, -0.7964717149734497, 0.7106579542160034, -0.7695664763450623, -0.09046926349401474, -0.3174651265144348, 0.33266323804855347, -0.5614902973175049, 1.035227656364441, 0.621311366558075, 0.11829037964344025, -0.527175784111023, -0.4818708896636963, 0.46214696764945984, 1.3308919668197632, 0.26460781693458557, 0.03260822966694832, -0.11713604629039764, -0.1445181667804718, -0.9745082259178162, -0.7385674715042114, 0.3223207890987396, -0.47188088297843933, 0.07814729958772659, 0.0640028566122055, -1.0139809846878052, -0.5168535709381104, -0.05481864511966705, 0.03178703039884567, -0.39772388339042664, 0.11931717395782471, -0.2690848112106323, 0.07060664892196655, -0.747731626033783, 0.12238360196352005, 0.0065777720883488655, 0.5021556615829468]",0,1,19.561203,-16.897049
102 Dalmatians,"[-1.4392720460891724, 1.1690887212753296, -0.19721947610378265, 0.942145586013794, 0.5221352577209473, 0.12081684172153473, 0.3571421504020691, -0.6907986998558044, -0.18360035121440887, 0.18721461296081543, -0.1861913800239563, -0.49395468831062317, 0.7203899621963501, 0.5503848791122437, -0.3106602728366852, -1.1517138481140137, -0.1996425837278366, -0.5123273730278015, -0.5508555769920349, -0.1383792906999588, 0.05441822111606598, -0.7056900858879089, -0.3822774887084961, -0.29278266429901123, 0.4257725477218628, 0.8793997168540955, -0.14608563482761383, 0.12007039785385132, -0.5401527285575867, -0.4463554322719574, -0.800150990486145, 0.036882005631923676, -1.0807024240493774, 0.5716567635536194, -0.2932003438472748, -0.33970698714256287, 1.1271257400512695, -0.7916598320007324, 0.7268720865249634, 0.09188041090965271, -0.24782218039035797, 0.6263570189476013, 0.12754425406455994, -0.41830721497535706, 0.686656653881073, -0.9887749552726746, 0.03139474242925644, 0.8651382327079773, 0.4060467481613159, -0.3969581425189972, 0.1547507643699646, 0.4941027760505676, -0.609014093875885, 0.42936626076698303, -0.6732144355773926, -0.08121071010828018, -0.5093273520469666, 0.699708878993988, 0.7879969477653503, 0.044186968356370926, 0.2901122570037842, 0.6207019686698914, -0.1265113353729248, 0.31191882491111755]",0,4,-13.662661,-10.718185
1492: Conquest of Paradise,"[-0.7835625410079956, -0.28801366686820984, -0.828473687171936, 0.7075427174568176, 0.5328599214553833, 0.5307114720344543, -0.6612388491630554, -0.21002943813800812, 0.08354055881500244, 0.263035386800766, 0.2180163711309433, 0.145610973238945, 0.765235185623169, 0.4732127785682678, 0.2395644634962082, -1.1965746879577637, -0.7645156383514404, 0.8248636722564697, -0.254016250371933, 0.017006205394864082, -0.2050323784351349, -0.308761328458786, 0.10873154550790787, 0.7748059034347534, 0.5433778762817383, 0.6423979997634888, -0.2213774025440216, 0.3619835376739502, -0.20756924152374268, 0.3371959626674652, -0.6223660707473755, -0.5241521000862122, -0.6382739543914795, 0.29355430603027344, 0.36241602897644043, 0.18799658119678497, 1.2745578289031982, -0.8962392210960388, -0.7127214074134827, 0.27272677421569824, 0.44353318214416504, 0.1899929642677307, 0.488832950592041, 0.799081563949585, -0.19940337538719177, 0.24426960945129395, 0.9185699820518494, -0.3584090769290924, 1.0154869556427002, -1.0496920347213745, 0.44982030987739563, -0.5398447513580322, -0.061358608305454254, -0.5771748423576355, -0.6394793391227722, 0.1927545964717865, -0.9943576455116272, 0.23184973001480103, 0.11991729587316513, -0.8302023410797119, -0.3136485815048218, 0.11625800281763077, -0.18161310255527496, 0.021150359883904457]",0,0,17.454336,20.945593
"20,000 Leagues Under the Sea","[-1.3254038095474243, 0.7196653485298157, -0.6069523692131042, -0.11511316150426865, 0.15399077534675598, 0.6979293823242188, 0.507963240146637, -0.611248791217804, 0.024256926029920578, 0.3176133334636688, -0.3025432229042053, -0.3340020477771759, 0.8132563233375549, 0.9623163938522339, -0.3356105387210846, -0.5377712845802307, -0.09256695955991745, 0.6363953351974487, -1.0974200963974, -0.3182331919670105, -0.4421674907207489, -0.70610111951828, -0.04789429157972336, 0.8416714072227478, 0.551903486251831, 1.0612695217132568, -0.5446277260780334, 0.4725181758403778, 0.06371057033538818, 0.559667706489563, -0.6954226493835449, -1.0244934558868408, -0.20849397778511047, 0.4625949561595917, -0.2888166606426239, -0.1784956157207489, 1.2461193799972534, -0.9163379669189453, -0.5218957662582397, 0.5140673518180847, 0.3188400864601135, 0.21334873139858246, 0.8849941492080688, 0.12669694423675537, 0.5120880603790283, -0.21383638679981232, 0.17267711460590363, -0.882876455783844, 0.8800421357154846, -0.7456132769584656, 0.24192973971366882, 0.13113181293010712, -0.6790322661399841, -0.10024113208055496, -0.5660639405250549, 0.49711379408836365, -0.6617770195007324, 0.6891034245491028, -0.2403605431318283, -0.4576742351055145, -0.05759160593152046, 0.24095796048641205, -0.38442370295524597, 0.08648498356342316]",0,0,1.9687743,4.7281375
25th Hour,"[-0.9273836612701416, 0.251690149307251, -0.31080082058906555, -0.6519457697868347, 0.09694497287273407, -0.12358151376247406, 0.5011088848114014, -0.754233717918396, 0.39580389857292175, -0.014084549620747566, -0.20046761631965637, -0.4646412134170532, 0.3855857849121094, 0.9039348363876343, -0.9013793468475342, 0.18546737730503082, 0.41893166303634644, -0.2650076746940613, -1.8157615661621094, 0.0514063686132431, -1.271498680114746, -0.9517857432365417, 0.1308508813381195, 0.43668660521507263, 0.2139732837677002, 0.47647830843925476, -0.273043692111969, -0.004210720770061016, -0.40970945358276367, -0.11314015835523605, -0.8275952935218811, -0.9181631803512573, -0.31201812624931335, 0.45473092794418335, -1.065820574760437, -0.37480437755584717, 0.5682793855667114, 0.050608374178409576, -0.10763964056968689, 0.48252713680267334, 0.015483901835978031, 0.5499675273895264, -0.3219088017940521, -0.36265820264816284, 0.6161354780197144, -0.2868190109729767, 0.38279443979263306, -0.3371743857860565, 0.16244255006313324, 0.1651027500629425, 0.35012009739875793, -0.25182926654815674, -0.5596709847450256, 0.6019470691680908, -0.47821635007858276, 0.06857775151729584, -0.4835328459739685, 0.227528378367424, 0.4954269230365753, -0.5960914492607117, 0.3198865056037903, 0.7901068329811096, -0.16258034110069275, 0.0504206046462059]",0,0,-12.497588,25.873308
3 Ninjas,"[-0.8308957815170288, 0.31208568811416626, 0.04031758010387421, -0.6951461434364319, -0.11921695619821548, 1.2577975988388062, 0.3222059905529022, -0.49330583214759827, 0.3305753469467163, 0.45204833149909973, 0.6592377424240112, 1.1006677150726318, 0.7137880921363831, 0.8612573146820068, 0.5041895508766174, 0.0380774661898613, 0.18692605197429657, 0.11237584799528122, -0.5049176216125488, 0.2911182641983032, -0.30412477254867554, -0.8484013676643372, 0.12734197080135345, 0.18854522705078125, 0.5195151567459106, 0.18154659867286682, -0.429627001285553, 0.0021546627394855022, 0.6447589993476868, 0.7398436069488525, -0.7524191737174988, -0.17268510162830353, -0.3986116945743561, 0.2655982971191406, 0.6305239200592041, -0.04006583243608475, 0.7256425023078918, -0.016790498048067093, -0.8345903158187866, 0.24621741473674774, -0.08339767903089523, -0.1739514172077179, 0.4166451692581177, 1.10318124294281, 0.02267141453921795, 0.16542889177799225, -0.29188328981399536, -0.6709511876106262, 0.49121353030204773, -0.6211286783218384, 0.16590219736099243, -0.7966488003730774, -1.1834676265716553, 0.07777655869722366, -0.32217803597450256, 0.05124618858098984, -0.6152622103691101, 0.7570581436157227, -0.3926168978214264, -0.5110510587692261, -0.6721017360687256, -0.2085614800453186, -0.31406015157699585, 0.9482096433639526]",1,0,-33.96398,-11.12877
3 Ninjas Kick Back,"[-1.1133860349655151, 0.44867822527885437, -0.6938176155090332, 0.4103964865207672, 0.3010322153568268, 0.607626736164093, -0.06618714332580566, -0.1547231823205948, -0.3359481692314148, 0.3892713785171509, -0.38267573714256287, -0.07761760801076889, 0.7345086932182312, 0.5063995122909546, -0.330125093460083, -0.678412675857544, -0.16339969635009766, 0.7828037738800049, -0.5798051357269287, -0.18581774830818176, -0.5132036209106445, -0.2652857005596161, 0.046207331120967865, 0.6741237044334412, 0.2939591705799103, 0.9870517253875732, -0.48123639822006226, 0.4349644184112549, -0.24937260150909424, 0.7530889511108398, 0.0320863351225853, -0.6695818901062012, -0.23521338403224945, 0.08913957327604294, -0.19211137294769287, 0.08668157458305359, 0.9499286413192749, -0.44500815868377686, -0.6521462202072144, 0.2317330688238144, 0.6064248085021973, 0.5932167768478394, 0.7886756658554077, -0.019661203026771545, 0.2935963571071625, -0.7353641390800476, 0.06408656388521194, -0.5692821741104126, 0.6334516406059265, -0.566070020198822, 0.18966656923294067, 0.21527372300624847, -0.5788463950157166, 0.28843480348587036, -0.3412353992462158, 0.38683924078941345, -0.5375564098358154, 0.6781279444694519, -0.04802485555410385, -0.5412369966506958, 0.012173037976026535, 0.6664084196090698, -0.10265368223190308, -0.11827246099710464]",0,1,4.0002027,1.1628313
A Beautiful Planet,"[-1.0898476839065552, 0.5133665800094604, -0.4466177523136139, 0.2739925980567932, 0.2783225178718567, 0.19347810745239258, -0.3265012800693512, 0.07790163904428482, -0.019458265975117683, 0.7192186117172241, 0.23986822366714478, -0.1886972039937973, 0.2520003914833069, 0.6883277297019958, 0.131174698472023, -0.7057186961174011, 0.035050150007009506, 0.24760569632053375, -0.7273542881011963, 0.4647473096847534, 0.1444212943315506, -0.2485838234424591, -0.34316104650497437, 1.2043101787567139, 0.5801041126251221, 0.37679141759872437, -0.5064127445220947, 0.14842833578586578, -0.6615960597991943, 0.49236753582954407, -0.295955628156662, -0.4677148163318634, -0.6691085696220398, 0.19009283185005188, -0.4639992415904999, 0.1850903332233429, 1.2877166271209717, -0.15894809365272522, -0.6346563100814819, 0.5695802569389343, 0.6919404864311218, 0.6026338934898376, 0.7808794379234314, -0.13434064388275146, 0.06637662649154663, -1.0916258096694946, 0.1285642832517624, -0.46619221568107605, 0.9249056577682495, -0.23406276106834412, -0.07151947915554047, -0.13099037110805511, -0.7088660001754761, 0.04369666054844856, -0.18611939251422882, 0.6430407166481018, -0.4596368074417114, 0.5380759835243225, 0.1988614797592163, -0.6856470108032227, -0.2915250360965729, 0.8696988821029663, 0.008071810938417912, -0.022013787180185318]",0,1,5.620645,-0.4282441
A Bug's Life,"[-0.9505746960639954, 1.1459152698516846, -0.32939204573631287, 0.02222852222621441, 0.03800886124372482, 1.044812798500061, -0.017208915203809738, -0.04699389263987541, 1.0484540462493896, -0.08636101335287094, -0.24938949942588806, -0.21275022625923157, 1.1799261569976807, 0.37200111150741577, -0.14434365928173065, -0.5318192839622498, -0.2560340464115143, 0.5954529643058777, -0.7448056936264038, -0.9026782512664795, -1.0539494752883911, -0.5559070110321045, 0.42528626322746277, 0.6334196925163269, 0.5856600403785706, 0.8068638443946838, 0.12310635298490524, 0.4651023745536804, 0.7687652111053467, 0.636288046836853, 0.3369220495223999, -0.5794277787208557, -0.9344322085380554, 0.17907489836215973, -0.030794408172369003, -0.3509368598461151, 0.8326127529144287, -0.8270992040634155, -0.18787483870983124, 0.099728524684906, 0.10235345363616943, 1.1279762983322144, 0.6294869780540466, -0.299866259098053, 0.3558899164199829, 0.22825279831886292, 0.941855788230896, -0.5360382199287415, 0.8253329396247864, -0.5722014307975769, 0.7187364101409912, 0.43458130955696106, 0.0025736757088452578, -0.1387607455253601, -0.38189011812210083, -0.5050871968269348, -0.22398562729358673, 0.25300219655036926, 0.5732173919677734, -0.4958682656288147, 0.24935978651046753, -0.11833899468183517, -0.00809150654822588, 0.3194212019443512]",4,0,-19.896826,-23.318573
